                        Natural Gas Pipeline Projects,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,Project Name,Pipeline Operator Name,Project Type,Status,Completed Date,Year In Service Date,State(s),Beg_State,End_State,Region(s),Beg_Region,End_Region,Thru_Region, Cost (millions) , Miles ,Additional Capacity (MMcf/d),Pipeline Diameter (Inches),Pipeline Type,Authority,Docket Number,Crosses State Border,Project Notes,Demand Served,Website
12/28/2022,Alberta Xpress Project,TC Energy ,Expansion,Completed,1/11/2023,2023,"MI,IN,OH,IN,KY,TN,MS,AR,LA",MI,LA,"Midwest, South Central",Midwest,South Central,,  81 ,,165,, Interstate ,FERC,CP20-484,Yes,"Delivers Canadian gas into Great Lakes pipeline, then to ANR system for delivery to LNG facilities on the Gulf Coast.  Project only involves capacity expansion on ANR system, a new compressor station in Evangeline Parish, LA, near Turkey Creek.",LNG,
6/26/2009,Algonquin ANP Electric Lateral,Algonquin Gas Transmission,Lateral,Completed,4/1/2001,2001,MA,MA,MA,Northeast,Northeast,Northeast,,  5 ,  1 ,  107 ,14,Interstate,FERC,CP98-100,,,,
6/26/2009,Algonquin Cape Cod Lateral,Algonquin Gas Transmission,Lateral,Completed,12/1/2007,2007,MA,MA,MA,Northeast,Northeast,Northeast,,  15 ,3.8,38,  18 , Interstate ,FERC,CP06-143,,,,
6/26/2009,Algonquin DPA Upgrades,Algonquin Gas Transmission,Lateral,Completed,1/1/1999,1999,MA,MA,MA,Northeast,Northeast,Northeast,,  5 ,  2 ,  32 ,14,Interstate,FERC,CP98-99,,,,
7/20/2010,Algonquin East-to-West (EW2) Expansion,Algonquin Gas Transmission,Expansion,completed,11/1/2010,2010,CT,CT,CT,Northeast,Northeast,Northeast,,  45 ,2.6,281.5,  36 , Interstate ,FERC,CP08-420,,,,
6/26/2009,Algonquin Electric Load Lateral,Algonquin Gas Transmission,Lateral,Completed,10/15/1997,1997,CT,CT,CT,Northeast,Northeast,Northeast,,  15 ,  8 ,  82 ,20,Interstate,FERC,na,,,,
6/26/2009,Algonquin Everett Alternative Project,Algonquin Gas Transmission,Expansion,Completed,10/1/2004,2004,MA,MA,MA,Northeast,Northeast,Northeast,,  12 ,  0 ,  60 ,24,Interstate,FERC,CP04-67,,,,
6/26/2009,Algonquin Fore River Electric Lateral,Algonquin Gas Transmission,Lateral,Completed,12/15/2001,2001,MA,MA,MA,Northeast,Northeast,Northeast,,  32 ,  1 ,  140 ,24,Interstate,FERC,CP00-34,,,,
6/26/2009,Algonquin HubLine,Algonquin Gas Transmission,Expansion,Completed,11/24/2003,2003,MA,MA,MA,Northeast,Northeast,Northeast,,  127 ,  29 ,  295 ,"24,30",Interstate,FERC,CP01-05,,,,
8/22/2016,Algonquin Incremental Market (AIM),Algonquin Gas Transmission,Expansion,Completed,12/30/2016,2016,"NJ,NY,CT,RI,MA",NJ,MA,Northeast,Northeast,Northeast,,  972 ,  37 ,  342 ,42,Interstate,FERC,CP14-96,Yes,"Majority of AIM project placed into service in October 2016. Last remaining facilities in service by Jan. 7, 2017.  EIA categorized all 342 Mmcf/d of project as completed in 2016 .",,
7/22/2010,Algonquin J-2 Loop,Algonquin Gas Transmission,Expansion,Completed,9/2/2009,2009,MA,MA,MA,Northeast,Northeast,Northeast,,  35 ,2.3,140,  14 , Interstate ,FERC,CP08-256,,,,
3/8/2011,Algonquin Kleen Energy Lateral,Algonquin Gas Transmission,Lateral,Completed,6/1/2009,2009,CT,CT,CT,Northeast,Northeast,Northeast,,  8 ,  1 ,  131 ,20,Interstate,FERC,CP08-462,,,,
6/26/2009,Algonquin Lake Road Lateral,Algonquin Gas Transmission,Lateral,Completed,8/1/2000,2000,CT,CT,CT,Northeast,Northeast,Northeast,,  5 ,  2 ,  140 ,16,Interstate,FERC,CP99-271,,,,
6/26/2009,Algonquin Northeast Gateway LNG,Algonquin Gas Transmission,Expansion,Completed,12/15/2007,2007,MA,MA,MA,Northeast,Northeast,Northeast,,  180 ,16.4,800,  24 , Interstate ,FERC,CP05-383,,,,
6/26/2009,Algonquin Ramapo Expansion,Algonquin Gas Transmission,Lateral,Completed,11/1/2008,2008,"NJ,CT",NJ,CT,Northeast,Northeast,Northeast,,  192 ,  5 ,  325 ,42,Interstate,FERC,CP06-76,,,,
6/26/2009,Algonquin Tiverton Electric Expansion,Algonquin Gas Transmission,Lateral,Completed,4/1/2000,2000,"CT,RI",CT,RI,Northeast,Northeast,Northeast,,  14 ,  16 ,  46 ,30,Interstate,FERC,CP99-46,,,,
6/26/2009,Algonquin/TETCO Lambertville Upgrade,Algonquin Gas Transmission,Expansion,Completed,10/1/2001,2001,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  7 ,,  135 ,"26,30",Interstate,FERC,CP01-111,,,,
12/28/2023,A-Line Replacement Project,Northern Natural Gas Co,Upgrade,Completed,10/23/2023,2023,IA,IA,IA,Midwest,Midwest,Midwest,,  31 ,  1.5 ,0,,Interstate,FERC,CP22-42,No,"Abandon 87 miles of A-line and replace its capacity with six mile extension to its existing D-Line in Wright County, Iowa; 6-mile extension, reduced to 1.51 miles, see issuance 20230525-3028",,
11/19/2018,Allen Compressor Station Modification Project,Enable Gas Transmission,Expansion,Completed,9/25/2018,2018,OK,OK,OK,South Central,South Central,South Central,,  4 ,,20,, Interstate ,FERC,CP18-490,No,"Increase capacity on Enable system in Hughes County, OK",,
6/26/2009,Alliance Project (Import Station),Alliance Pipeline LP,Expansion,Completed,12/1/2000,2000,"SK,ND",SK,ND,"Canada, Mountain",Canada,Mountain,,,  1 ,"  1,600 ",36,Interstate,FERC,CP97-169,,,,
6/26/2009,Alliance Project (US Portion),Alliance Pipeline LP,New Pipeline,Completed,12/1/2000,2000,"SK,ND,MN,WI,IL",SK,IL,"Canada, Mountain, Midwest",Canada,Midwest,Mountain,"  1,305 ",  887 ,"  1,325 ",36,Interstate,FERC,CP97-168,,,,
4/9/2018,ANR Collierville Expansion Project,ANR Pipeline,Expansion,Completed,11/14/2017,2017,TN,TN,TN,Midwest,Midwest,Midwest,,  37 ,,  200 ,,Intrastate,FERC,CP16-64,No,,,
6/26/2009,ANR EastLeg Expansion,ANR Pipeline,Lateral,Completed,11/1/2005,2005,WI,WI,WI,Midwest,Midwest,Midwest,,  19 ,  8 ,  143 ,"8,30",Interstate,FERC,CP04-51,,,,
6/26/2009,ANR Link/Interprovincial Pipeline System,ANR Pipeline,New Pipeline,Completed,11/1/1996,1996,"MI,ON",MI,ON,"Midwest, Canada",Midwest,Canada,,  15 ,  12 ,  150 ,24,Interstate,FERC,CP93-564/566,,,,
6/26/2009,ANR LSP Electric Lateral,ANR Pipeline,Lateral,Completed,2/28/2000,2000,"MS,TN",MS,TN,"South Central, Midwest",South Central,Midwest,,  0 ,  15 ,  235 ,20,Interstate,FERC,CP98-801,,,,
6/26/2009,ANR Michigan Leg Expansion,ANR Pipeline,Expansion,Completed,12/15/1997,1997,"IL,IN,MI",IL,MI,Midwest,Midwest,Midwest,,  19 ,  12 ,  135 ,"22,30,42",Interstate,FERC,CP96-641,,,,
6/26/2009,ANR NorthLeg Expansion,ANR Pipeline,Expansion,Completed,12/16/2005,2005,WI,WI,WI,Midwest,Midwest,Midwest,,  14 ,,  105 ,,Interstate,FERC,CP04-01,,,,
6/26/2009,ANR South Marsh Isle Lateral,ANR Pipeline,Lateral,Completed,2/28/2000,2000,GM,GM,GM,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico,,  10 ,  10 ,  225 ,16,Interstate,FERC,CP99-618,,,,
6/26/2009,ANR WestLeg Expansion,ANR Pipeline,Expansion,Completed,10/1/2004,2004,WI,WI,WI,Midwest,Midwest,Midwest,,  42 ,  33 ,  220 ,"12,20,30",Interstate,FERC,CP02-434,,,,
6/26/2009,ANR WI Interconnection,North Shore Gas Co,Expansion,Completed,9/1/1999,1999,"IL,WI",IL,WI,Midwest,Midwest,Midwest,,,  12 ,  40 ,10,Interstate,FERC,CP98-196,,,,
6/26/2009,ANR Wisconsin 2006 Expansion Project,ANR Pipeline,Expansion,Completed,12/15/2006,2006,"MI,WI",MI,WI,Midwest,Midwest,Midwest,,  48 ,6.86,168.2," 16,30 ", Interstate ,FERC,CP05-364,,,,
6/26/2009,ANR Wisconsin Expansion IIB,ANR Pipeline,Expansion,Completed,12/15/2001,2001,"IL,WI",IL,WI,Midwest,Midwest,Midwest,,  6 ,,  40 ,46,Interstate,FERC,CP99-241,,,,
6/26/2009,ANR Wisconsin Expansion Il A,ANR Pipeline,Expansion,Completed,12/15/2000,2000,"IL,WI",IL,WI,Midwest,Midwest,Midwest,,  24 ,  12 ,  109 ,30,Interstate,FERC,CP99-241,,,,
6/26/2009,ANR Wisconsin Loop Expansion I,ANR Pipeline,Expansion,Completed,11/1/1999,1999,"IL,WI",IL,WI,Midwest,Midwest,Midwest,,  12 ,  12 ,  190 ,30,Interstate,FERC,CP97-765,,,,
7/29/2010,ANR Wisconsin Project Expansion,ANR Pipeline,Expansion,Completed,10/28/2010,2010,WI,WI,WI,Midwest,Midwest,Midwest,,  38 ,8.9,97.9,  30 , Interstate ,FERC,CP08-465,,,,
3/17/2011,Apex Expansion Project,Kern River Gas Transmission,Expansion,Completed,10/1/2011,2011,"WY,UT,NV",WY,NV,Mountain,Mountain,Mountain,,  30 ,  28 ,  266 ,36,Interstate,FERC,CP10-14,,,,
1/14/2022,Appalachia to Market Project,Texas Eastern Transmission,Conversion,Completed,11/1/2021,2021,PA,PA,PA,Northeast,Northeast,Northeast,,  22 ,  1 ,18,  30 , Interstate ,FERC,CP20-436,No,"Additional looping on segment in PA (Westmoreland, Berks, Fayette counties)",,
1/24/2018,Appalachia to Market Project (A2M Project),Texas Eastern Transmission,Expansion,Cancelled,,,"OH,WV,PA,NJ",OH,NJ,Northeast,Northeast,Northeast,,,,"1,000",,Interstate,FERC,na,Yes,,,
9/4/2012,Appalachian Gateway Project,Dominion Transmission,New Pipeline,Completed,9/4/2012,2012,"WV,PA",WV,PA,Northeast,Northeast,Northeast,,  635 ,110,484.26," 20,24,30 ", Interstate ,FERC,CP10-448,,,,
11/13/2018,Appalachian Lease Project (TEAL) Phase 1,Texas Eastern Transmission,Lateral,Completed,11/9/2018,2018,OH,OH,OH,Northeast,Northeast,Northeast,,  185 ,  5 ,  638 ,"30,36",Interstate,FERC,CP16-23,No,Connects TETCO/supply to NEXUS pipeline; partial completion allows for deliveries to NEXUS for testing purposes,,https://www.enbridge.com/projects-and-infrastructure/projects/texas-eastern-appalachian-lease-project
4/25/2019,Appalachian Lease Project (TEAL) Phase 2,Texas Eastern Transmission,Lateral,Completed,4/1/2019,2019,OH,OH,OH,Northeast,Northeast,Northeast,,,,313,,Interstate,FERC,CP16-23,No,Connects TETCO/supply to NEXUS pipeline,,https://www.enbridge.com/projects-and-infrastructure/projects/texas-eastern-appalachian-lease-project
7/29/2019,Atlantic Bridge project Phase 1,Algonquin Gas Transmission,Expansion,Completed,11/1/2017,2017,"NJ,NY,CT,RI,MA",NJ,MA,Northeast,Northeast,Northeast,,,  -   ,  40 ,,Interstate,FERC,CP16-9,Yes,,,
2/26/2021,Atlantic Bridge Project Phase 2,Algonquin Gas Transmission,Expansion,Completed,1/25/2021,2021,"NJ,NY,CT,RI,MA",NJ,MA,Northeast,Northeast,Northeast,,  452 ,  6 ,93,42,Interstate,FERC,CP16-9,Yes,Incremental capacity increase into New England,,https://www.enbridge.com/projects-and-infrastructure/projects/atlantic-bridge 
2/26/2021,Atlantic Bridge Project Phase 2 (CAN),Maritimes & Northeast Pipeline,Expansion,Completed,1/25/2021,2021,"MA, NH, ME, NB",MA,NB,"Northeast, Canada",Northeast,Canada,,,  -   ,93,,Interstate,FERC,CP16-9,Yes,Part of project allows for additional deliveries on Maritimes pipeline system; delays in constructing Weymouth Compressor Station due to litigation,,https://www.enbridge.com/projects-and-infrastructure/projects/atlantic-bridge 
7/6/2020,Atlantic Coast Pipeline,Atlantic Coast Pipeline,New Pipeline,Cancelled,,na,"WV,VA,NC",WV,NC,"Northeast, Southeast",Northeast,Southeast,,"  5,100 ",  600 ,"1,500","20,36,42",Interstate,FERC,CP15-554,Yes,Deliver Appalachia Basin supplies to Virginia and North Carolina; laterals to two electric generators,Electric,https://atlanticcoastpipeline.com/
10/4/2018,Atlantic Sunrise Project Phase 1B,Transcontinental Gas Pipeline,Reversal,Completed,6/1/2018,2018,"PA,MD,VA,NC,SC,GA,AL",PA,AL,"Northeast, Southeast, South Central",Northeast,South Central,Southeast,"  2,600 ",,450,, Interstate ,FERC,CP15-138,Yes,Transco reversal to MS/AL; includes 850 MMcf/d additional takeaway capacity out of Marcellus,,http://www.1line.williams.com/Transco/files/presentations/2018CSSpringUpdate.pdf
4/26/2018,Atlantic Sunrise Project Phase IA,Transcontinental Gas Pipeline,Reversal,Completed,,2017,"PA,MD, VA,NC,SC,GA,AL",PA,AL,"Northeast, Southeast, South Central",Northeast,South Central,Southeast,"  2,600 ",,400,, Interstate ,FERC,CP15-138,Yes,Phase 1 in service (to VA),,
10/4/2018,Atlantic Sunrise Project Phase II,Transcontinental Gas Pipeline,Reversal,Completed,10/4/2018,2018,"PA,MD,VA,NC,SC,GA,AL",PA,AL,"Northeast, Southeast, South Central",Northeast,South Central,Southeast,  500 ,180,850,, Interstate ,FERC,CP15-138,Yes,Transco reversal to MS/AL; includes 850 MMcf/d additional takeaway capacity out of Marcellus,,http://www.1line.williams.com/Transco/files/presentations/2018CSSpringUpdate.pdf 
6/26/2009,Atmos/Enbridge X-Line Expansion,Atmos Energy Inc,Expansion,Completed,8/1/2006,2006,TX,TX,TX,South Central,South Central,South Central,,  20 ,,150,  36 , Intrastate ,State,na,,,,
12/28/2022,Bailey East Mine Panel 11J Project,Texas Eastern Transmission,Upgrade,Completed,11/29/2022,2022,WV,WV,WV,Northeast,Northeast,Northeast,,  31 ,  1.5 ,0,"30,36",Interstate,FERC,CP19-501,No,Excavate and replace pipelines to protect pipe during longwall mining.,,
1/3/2019,Bakken Line 27 Expansion,MDU Resources Group,Expansion,Completed,9/15/2018,2018,ND,ND,ND,Mountain,Mountain,Mountain,,  30 ,  13 ,  600 ,24,Intrastate,,,No,Takeaway out of Bakken; TOTAL capacity on line 27 is now 600 MMcf/d- cannot find prior capacity or capacity added,,Details from Natural Gas Intelligence article published 11/5/18
6/26/2009,Baton Rouge Expansion,Mid Louisiana Gas Co,Expansion,Completed,7/1/1998,1998,LA,LA,LA,South Central,South Central,South Central,,  12 ,  25 ,  100 ,22,Interstate,FERC,na,,,,
6/26/2009,Bay Gas Storage Extension,EnergySouth Gas Co,Lateral,Completed,7/22/2001,2001,AL,AL,AL,South Central,South Central,South Central,,,  18 ,  200 ,24,Intrastate,State,na,,,,
6/26/2009,Bay Gas Storage Looping,EnergySouth Gas Co,Lateral,Completed,7/22/2001,2001,AL,AL,AL,South Central,South Central,South Central,,,  11 ,  300 ,20,Interstate,FERC,CP02-229,,,,
4/6/2012,Bayonne Delivery Lateral Project,Transcontinental Gas Pipeline,Lateral,Completed,4/4/2012,2012,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  17 ,  6 ,250,"14,20",Interstate,FERC,CP09-417,,,,
7/21/2010,Bayou Choctaw Storage Headers,PetroLogistics Natural Gas Storage,Lateral,Completed,6/29/2009,2009,LA,LA,LA,South Central,South Central,South Central,,  15 ,13.1,300," 16,20 ", Interstate ,FERC,CP07-428,,,,
3/23/2018,Bayway Lateral Project,Texas Eastern Transmission,Lateral,Completed,1/3/2018,2018,NJ,NJ,NJ,Northeast,Northeast,Northeast,,  31 ,  1 ,  300 ,24,Interstate,FERC,CP16-473,No,,,
11/19/2021,Bernville Compression Station Project,Texas Eastern Transmission,Upgrade,Completed,11/3/2021,2021,PA,PA,PA,Northeast,Northeast,Northeast,,,  -   ,0,,Interstate,FERC,CP19-191,No,Replace 2 compressor stations to comply with new PA environmental rules; compressors installed in 1958 and 1968,,
3/31/2011,Bi-directional Pipeline Conversion,Midwestern Gas Transmission Co,Expansion,Completed,10/30/2010,2010,"IL,IN",IL,IN,Midwest,Midwest,Midwest,,  4 ,,150,, Interstate ,FERC,CP08-436,,,,
3/25/2022,Big Bend Project,Florida Gas Trans Co,Expansion,Cancelled,,na,FL,FL,FL,Northeast,Southeast,Southeast,,  38 ,  3.2 ,29,36,Intrastate,FERC,CP21-45,No,"Loop extension in Calhoun and Jefferson Counties, Florida that will serve Tampa Electric Company’s Peoples Gas System",LDC,
6/26/2009,Big Sandy Pipeline Phase I,Equitrans,New Pipeline,Completed,4/1/2008,2008,KY,KY,KY,Midwest,Midwest,Midwest,,  60 ,68,70,  20 , Interstate ,FERC,CP06-275,,,,
6/26/2009,Big Sandy Pipeline Phase II,Equitrans,Lateral,Completed,4/1/2008,2008,KY,KY,KY,Midwest,Midwest,Midwest,,  20 ,,60,20,Interstate,FERC,CP06-275,,,,
12/20/2018,Birdsboro Pipeline Project,"DTE Midstream Appalachia, LLC",New Pipeline,Completed,12/10/2018,2018,PA,PA,PA,Northeast,Northeast,Northeast,,  47 ,  13 ,  79 ,12,Intrastate,FERC,CP17-409,No,Designed to supply gas to a new gas-fired power generation facility,Electric,https://dtemidstream.com/location/birdsboro-pipeline/ 
2/14/2011,Bison Pipeline Project,Bison Pipeline LLC,New Pipeline,Completed,1/14/2011,2011,"WY,MT,ND",WY,ND,Mountain,Mountain,Mountain,,  610 ,  302 ,  477 ,30,Interstate,FERC,CP09-161,,,,
1/2/2013,Blacksville Compressor Station Project,Equitrans,Expansion,Completed,11/1/2012,2012,"WV,PA",WV,PA,Northeast,Northeast,Northeast,,  22 ,0,209,, Interstate ,FERC,CP12-13,,,,
11/19/2018,Blue Mountain Chisholm Trail Project,Southern Star Central Gas Pipeline,Lateral,Completed,6/9/2018,2018,OK,OK,OK,South Central,South Central,South Central,,,  5 ,  150 ,12,Intrastate,FERC,CP18-17,No,,,
1/14/2022,Blue Water Energy Center (BWEC) Pipeline,Vector Pipeline,Lateral,Completed,12/15/2021,2021,MI,MI,MI,Midwest,Midwest,Midwest,,  22 ,  1 ,180,24,Interstate,FERC,CP20-4,No,"Lateral to Blue Water Energy Center 1,100 GW combined cycle power plant in St. Clair, MI, owned by DTE Energy; can expand to 525 MMcf/d of capacity with equpitment upgrade",Electric,
11/19/2021,Bluewater Compressor Project,Bluewater Gas Storage,Expansion,Completed,11/19/2021,2021,MI,MI,MI,Midwest,Midwest,Midwest,,  40 ,  -   ,380,,Interstate,FERC,CP19-471,No,"New compressor station to expand capacity from pressure limited 120,000 Mcf/d, to 500,000 Mcf/d on its interconnect with the Vector Pipeline",,
4/2/2012,Bluewater Gas Storage Link,Bluewater Gas Storage,Lateral,Completed,,2012,MI,MI,MI,Midwest,Midwest,Midwest,,,  0 ,  300 ,12,Interstate,FERC,CP12-51,,,,
12/29/2011,Bobcat Storage Expansion,Port Barre Investments LLC,Lateral,Completed,,2011,LA,LA,LA,South Central,South Central,South Central,,  30 ,  13 ,"  1,800 ",20,Interstate,FERC,CP09-19,,,,
6/26/2009,Bobcat Storage Lateral,Port Barre Investments LLC,Lateral,Completed,10/15/2008,2008,LA,LA,LA,South Central,South Central,South Central,,  30 ,  20 ,"  1,200 ","12,16,20",Interstate,FERC,CP06-66/67/68,,,,
6/26/2009,Bossier Loop Phase 1,Regency Intrastate Pipeline Co,Expansion,Completed,10/1/2006,2006,LA,LA,LA,South Central,South Central,South Central,,  25 ,16,100,  24 , Intrastate ,State,na,,,,
6/26/2009,Bossier Loop Phase 2,Regency Intrastate Pipeline Co,Expansion,Completed,3/1/2007,2007,LA,LA,LA,South Central,South Central,South Central,,  5 ,,100,, Intrastate ,State,na,,,,
6/26/2009,Brazoria Interconnector Gas Pipeline,Freeport LNG Development LP,Expansion,Completed,4/1/2008,2008,TX,TX,TX,South Central,South Central,South Central,,  56 ,30,2600,  42 , Intrastate ,State,na,,,,
8/2/2018,Broad Run Expansion Project,Tennessee Gas Pipeline Co,Expansion,Completed,6/1/2018,2018,"WV,KY,TN,MS,AL,LA",WV,LA,"Northeast, Midwest, South Central",Northeast,South Central,Midwest,  407 ,,  200 ,,Interstate,FERC,CP15-77,Yes,Only 621 Bcf/d of new capacity; deliverability of only 800 MMcf/d to MS and 500 MMcf/d to LA,,https://www.kindermorgan.com/pages/business/gas_pipelines/east/broadrun/ 
8/30/2016,Broad Run Flexibility Project,Tennessee Gas Pipeline Co,Reversal,Completed,11/1/2015,2015,"WV,KY",WV,KY,"Northeast, Midwest",Northeast,Midwest,,  407 ,,  590 ,,Interstate,FERC,na,Yes,,,
